init_node,term_node,a0,a1
1,117,1.090458488,2.286236854138089e-17
2,87,1.090458488,2.286236854138089e-17
3,74,1.090458488,2.286236854138089e-17
4,233,1.090458488,2.286236854138089e-17
5,165,1.090458488,2.286236854138089e-17
6,213,1.090458488,2.286236854138089e-17
7,253,1.090458488,2.286236854138089e-17
8,411,1,1.7640716467114877e-16
9,379,1,1.7640716467114877e-16
9,395,1,1.7640716467114877e-16
10,338,1,1.7640716467114877e-16
10,362,1,1.7640716467114877e-16
11,309,1,1.7640716467114877e-16
12,275,1,1.7640716467114877e-16
13,262,1,1.7640716467114877e-16
14,257,1,1.7640716467114877e-16
15,254,1,1.7640716467114877e-16
16,263,1,1.7640716467114877e-16
17,276,1,1.7640716467114877e-16
18,322,1,1.7640716467114877e-16
18,348,1,1.7640716467114877e-16
19,364,1,1.7640716467114877e-16
19,380,1,1.7640716467114877e-16
20,397,1,1.7640716467114877e-16
21,412,1,1.7640716467114877e-16
21,413,1,1.7640716467114877e-16
22,414,1,1.7640716467114877e-16
22,415,1,1.7640716467114877e-16
23,416,1,1.7640716467114877e-16
24,266,0.149068323,5.951262115103313e-18
24,267,0.149068323,5.951262115103313e-18
25,268,0.149068323,5.951262115103313e-18
25,269,0.149068323,5.951262115103313e-18
26,273,0.149068323,5.951262115103313e-18
26,274,0.149068323,5.951262115103313e-18
27,302,0.149068323,5.951262115103313e-18
27,303,0.149068323,5.951262115103313e-18
28,303,0.149068323,5.951262115103313e-18
28,304,0.149068323,5.951262115103313e-18
29,308,0.149068323,5.951262115103313e-18
29,337,0.149068323,5.951262115103313e-18
30,340,0.149068323,5.951262115103313e-18
30,341,0.149068323,5.951262115103313e-18
31,329,0.149068323,5.951262115103313e-18
31,330,0.149068323,5.951262115103313e-18
32,332,0.149068323,5.951262115103313e-18
32,333,0.149068323,5.951262115103313e-18
33,337,0.149068323,5.951262115103313e-18
33,361,0.149068323,5.951262115103313e-18
34,369,0.149068323,5.951262115103313e-18
34,385,0.149068323,5.951262115103313e-18
35,373,0.149068323,5.951262115103313e-18
35,389,0.149068323,5.951262115103313e-18
36,378,0.149068323,5.951262115103313e-18
36,394,0.149068323,5.951262115103313e-18
37,401,0.149068323,5.951262115103313e-18
37,402,0.149068323,5.951262115103313e-18
38,406,0.149068323,5.951262115103313e-18
38,407,0.149068323,5.951262115103313e-18
39,266,1.459848485,1.7640716467114877e-16
39,267,1.459848485,1.7640716467114877e-16
40,268,1.320075758,1.7640716467114877e-16
40,269,1.320075758,1.7640716467114877e-16
41,273,1,1.7640716467114877e-16
41,274,1,1.7640716467114877e-16
42,302,1,1.7640716467114877e-16
42,303,1,1.7640716467114877e-16
43,303,1.540151515,1.7640716467114877e-16
43,304,1.540151515,1.7640716467114877e-16
44,308,1,1.7640716467114877e-16
44,337,3,1.7640716467114877e-16
45,340,1,1.7640716467114877e-16
45,341,1,1.7640716467114877e-16
46,329,1,1.7640716467114877e-16
46,330,1,1.7640716467114877e-16
47,332,0.920075758,1.7640716467114877e-16
47,333,0.940151515,1.7640716467114877e-16
48,337,1,1.7640716467114877e-16
48,361,1,1.7640716467114877e-16
49,369,1,1.7640716467114877e-16
49,385,1,1.7640716467114877e-16
50,373,1,1.7640716467114877e-16
50,389,1,1.7640716467114877e-16
51,378,1,1.7640716467114877e-16
51,394,1,1.7640716467114877e-16
52,401,1,1.7640716467114877e-16
52,402,1,1.7640716467114877e-16
53,406,1.079924242,1.7640716467114877e-16
53,407,1.059848485,1.7640716467114877e-16
54,56,0.333333333,2.286236854138089e-17
54,230,0.333333333,2.286236854138089e-17
55,59,0.333333333,2.286236854138089e-17
56,102,0.333333333,2.286236854138089e-17
57,54,0.333333333,2.286236854138089e-17
57,235,0.333333333,2.286236854138089e-17
58,137,0.333333333,2.286236854138089e-17
58,145,0.333333333,2.286236854138089e-17
59,146,0.333333333,2.286236854138089e-17
60,102,0.333333333,2.286236854138089e-17
60,230,0.333333333,2.286236854138089e-17
61,136,0.333333333,2.286236854138089e-17
62,2,1.090458488,2.286236854138089e-17
63,62,1.090458488,5.581632944673067e-17
64,63,0.545229244,5.581632944673067e-17
