init_node,term_node,a0,a1
1,2,6,3.33333333390657E-19
1,3,4,5.00000000274075E-19
2,1,6,3.33333333390657E-19
2,6,5,2.48199999995898E-16
3,1,4,5.00000000274075E-19
3,4,4,1.74999999894651E-18
3,12,4,5.00000000274075E-19
4,3,4,1.74999999894651E-18
4,5,2,1.50000000013133E-18
4,11,6,2.58333333374338E-16
5,4,2,1.50000000013133E-18
5,6,4,2.50249999914382E-16
5,9,5,0.000000000000000015
6,2,5,2.48199999995898E-16
6,5,4,2.50249999914382E-16
6,8,2,2.60499999909038E-16
7,8,3,3.966666667333E-17
7,18,2,5.00000000274075E-19
8,6,2,2.60499999909038E-16
8,7,3,3.966666667333E-17
8,9,10,2.30600000038908E-16
8,16,5,2.31399999914492E-16
9,5,5,0.000000000000000015
9,8,10,2.30600000038908E-16
9,10,3,3.99999999835433E-18
10,9,3,3.99999999835433E-18
10,11,5,0.000000000000000015
10,15,6,4.4999999974294E-18
10,16,4,2.7000000001629E-16
10,17,8,2.41249999934385E-16
11,4,6,2.58333333374338E-16
11,10,5,0.000000000000000015
11,12,6,2.58333333374338E-16
11,14,4,2.6525000009871E-16
12,3,4,5.00000000274075E-19
12,11,6,2.58333333374338E-16
12,13,3,3.33333333390657E-19
13,12,3,3.33333333390657E-19
13,24,4,2.23250000002711E-16
14,11,4,2.6525000009871E-16
14,15,5,2.17000000023996E-16
14,23,4,2.55000000011292E-16
15,10,6,4.4999999974294E-18
15,14,5,2.17000000023996E-16
15,19,3,3.3333333344499E-18
15,22,3,1.76666666688213E-17
16,8,5,2.31399999914492E-16
16,10,4,2.7000000001629E-16
16,17,2,2.00500000016908E-16
16,18,3,1.00000000053949E-18
17,10,8,2.41249999934385E-16
17,16,2,2.00500000016908E-16
17,19,2,2.76999999920885E-16
18,7,2,5.00000000274075E-19
18,16,3,1.00000000053949E-18
18,20,4,5.00000000274075E-19
19,15,3,3.3333333344499E-18
19,17,2,2.76999999920885E-16
19,20,4,2.39499999964736E-16
20,18,4,5.00000000274075E-19
20,19,4,2.39499999964736E-16
20,21,6,2.28833333421187E-16
20,22,5,2.26000000025424E-16
21,20,6,2.28833333421187E-16
21,22,2,2.00500000016908E-16
21,24,3,2.63333333270219E-16
22,15,3,1.76666666688213E-17
22,20,5,2.26000000025424E-16
22,21,2,2.00500000016908E-16
22,23,4,0.00000000000000024
23,14,4,2.55000000011292E-16
23,22,4,0.00000000000000024
23,24,2,2.25500000015755E-16
24,13,4,2.23250000002711E-16
24,21,3,2.63333333270219E-16
24,23,2,2.25500000015755E-16
