init_node,term_node,flow,travel time
1,117,7074.900000000001,1.1529198689124767
2,87,9662.5,1.3077728285644097
3,74,7669.000000000003,1.1766938339006718
4,233,12173.800000000003,1.6380226412299255
5,165,2586.7999999999984,1.0915747901668154
6,213,6576.600000000001,1.1370960748889005
7,253,7137.0999999999985,1.1551455588519777
8,411,722.0999999999998,1.0000479629182888
9,379,1430.229294190006,1.0007337140731898
9,395,807.2707058099937,1.0000757200853652
10,338,104.54723678445447,1.0000000210578381
10,362,44.75276321554553,1.000000000708956
11,309,485.8000000000001,1.0000098253099972
12,275,488.2000000000001,1.0000100209136558
13,262,37.0,1.0000000003306155
14,257,125.19999999999997,1.0000000433444538
15,254,407.10000000000014,1.000004845299525
16,263,248.99999999999997,1.0000006781310156
17,276,648.3000000000002,1.0000311616400124
18,322,2218.5715144910855,1.0042738385521568
18,348,650.2284855089144,1.0000315320593163
19,364,722.8360744444968,1.0000481519892255
19,380,315.1639255555034,1.0000017410158342
20,397,503.60000000000025,1.000011346426534
21,412,1347.0,1.000580746502072
21,413,1294.8,1.00049582335842
22,414,375.1000000000001,1.0000034922431678
22,415,1149.2999999999997,1.0003077866980834
23,416,1522.5000000000002,1.000947862681671
24,266,5524.768907147263,0.14990009063653734
24,267,4217.9035180595465,0.14934940513658274
25,268,6092.811997496866,0.15029867902217564
25,269,5070.34476516836,0.14965526093372247
26,273,4489.256886249375,0.14943230816872785
26,274,1419.7072118890833,0.14907192653598889
27,302,2522.4897000618544,0.14910424709284997
27,303,3047.039734795928,0.14914422058267163
28,303,3005.716652408727,0.14914074142805026
28,304,3847.504023246325,0.14926150870374225
29,308,7411.871826655701,0.15176479451843605
29,337,8081.682017545867,0.1528114719088
30,340,2699.6706296180155,0.1491157371420412
30,341,2982.2938397773555,0.14913816220113937
31,329,3772.1376849805147,0.14924790034364446
31,330,3645.4275551385813,0.14922503632511963
32,332,2755.999715133329,0.14911928900661828
32,333,1515.03815198593,0.14907300583686497
33,337,7485.31118160749,0.15186779503815678
33,361,6564.320849483219,0.15069401549727732
34,369,3943.4013362146497,0.14928283403144255
34,385,2365.995225643466,0.1490961339660453
35,373,2579.223119379948,0.14910757929598772
35,389,1705.3751112470934,0.14907582679523904
36,378,3570.608365126647,0.14921065234487493
36,394,4190.007926405515,0.14931773780066473
37,401,6216.5431035390175,0.15040021191139144
37,402,1843.2749122412392,0.14907856410334328
38,406,5729.771907114171,0.15002989182284282
38,407,3409.5212393628935,0.14918822141772184
39,266,0.0,1.459848485
39,267,0.0,1.459848485
40,268,0.0,1.320075758
40,269,0.0,1.320075758
41,273,0.0,1.0
41,274,0.0,1.0
42,302,0.0,1.0
42,303,0.0,1.0
43,303,0.0,1.540151515
43,304,0.0,1.540151515
44,308,0.0,1.0
44,337,0.0,3.0
45,340,0.0,1.0
45,341,0.0,1.0
46,329,0.0,1.0
46,330,0.0,1.0
47,332,0.0,0.920075758
47,333,0.0,0.940151515
48,337,0.0,1.0
48,361,0.0,1.0
49,369,0.0,1.0
49,385,0.0,1.0
50,373,0.0,1.0
50,389,0.0,1.0
51,378,0.0,1.0
51,394,0.0,1.0
52,401,0.0,1.0
52,402,0.0,1.0
53,406,0.0,1.079924242
53,407,0.0,1.059848485
54,56,610.1015334270822,0.33333438873261717
54,230,114.79999999999998,0.33333333432363277
55,59,2496.5622574161616,0.33362940723666534
56,102,1995.0015334270818,0.3334540466097241
57,54,724.9015334270823,0.3333354371184134
57,235,1676.1999999999998,0.3333934923744087
58,137,2411.387756235209,0.3335911695009059
58,145,4665.5823400451345,0.33694385714773084
59,146,2496.609939932013,0.33362943072457635
60,102,0.0,0.333333333
60,230,2184.8624389593606,0.3335069911674717
61,136,1853.4035491967666,0.33342804098476003
62,2,13602.199999999997,1.943886676653488
63,62,13602.199999999997,3.174023401704804
64,63,5876.275602433317,0.5816440562667086
64,189,37.19092467329392,0.333333333035623
65,64,5913.466527106612,0.37293568058829096
66,65,5913.466527106612,0.24472524843472704
67,66,4570.346946478812,0.27927706582100087
67,260,0.0,0.5
68,67,4570.346946478812,1.7985866186702453
69,68,4516.356021805518,0.2789680042209345
69,258,11.01503310872254,0.5000000001051975
70,69,4527.371054914241,1.4397533531421993
71,70,4464.57105491424,0.2786818366799806
71,255,2257.439059547118,0.6855509268330585
72,71,6722.01011446136,0.303757061729162
73,72,1480.5,0.46894025657404526
73,141,6188.500000000001,0.360621954606313
74,73,7669.000000000003,1.300994000452812
75,3,5676.600000000004,1.1163455956739794
76,75,5676.600000000004,1.1536594344696764
77,76,2169.2,0.46939391530280394
77,141,1874.847961933895,0.33354355776997424
78,77,4044.0479619338967,0.2765202064760023
79,78,2305.115203381712,0.2730141808491147
79,256,567.3,0.5007399840813751
80,79,2872.415203381712,1.411693304789472
81,80,2860.209960068737,0.27357514534489374
81,259,1.3052770884972642,0.5000000000000215
82,81,2861.515237157234,1.7618769560930172
83,82,2861.515237157234,0.2735769417650202
83,261,1253.0231729538116,0.5181386746226861
84,83,4114.538410111046,0.23258810356041293
85,84,4114.538410111046,0.3544399413335475
86,85,4112.90196328251,0.5536672638666104
86,189,5549.5980367174925,0.3513953098400734
87,86,9662.5,1.6210110772685784
88,1,8328.000000000002,1.210378931129313
89,88,8328.000000000002,1.3832330073586743
90,89,5402.094464594346,0.2855708563614715
90,293,234.10402773786888,0.5000220893691
91,90,5636.198492332214,0.24195157614278429
92,91,5636.198492332214,0.3340197135345184
93,92,2737.799257009746,0.3500722097158757
93,183,1496.8481207712662,0.33342617214829995
93,195,17.25457992562864,0.33333333300191736
94,93,4251.901957706641,0.7101750155497988
95,94,1995.0015334270818,0.2728556495521344
95,290,0.0,0.5
96,95,1995.0015334270818,1.2441804201183415
97,96,1995.0015334270818,0.2728556495521344
97,288,0.0,0.5
98,97,1995.0015334270818,0.6221935648578268
99,98,1995.0015334270818,0.2728556495521344
99,283,0.0,0.5
100,99,1995.0015334270818,0.3929534771944654
101,100,1995.0015334270818,0.2728556495521344
101,278,0.0,0.5
102,101,1995.0015334270818,0.7749513867676305
103,59,0.047682515851022234,0.333333333
103,61,1853.4035491967666,0.33342804098476003
103,237,1286.500245573815,0.3333542270710874
104,103,3139.9514772864327,0.7786001523379472
105,104,3139.9514772864327,0.27414035762124944
105,279,0.0,0.5
106,105,3139.9514772864327,0.3948036514670786
107,106,3139.9514772864327,0.27414035762124944
107,284,0.0,0.5
108,107,3139.9514772864327,0.6251230885625267
109,108,3115.803300346655,0.2740925686419509
109,289,0.0,0.5
110,109,3115.803300346655,1.2498205837555845
111,110,3115.803300346655,0.2740925686419509
111,291,895.0942453318819,0.5045869904540224
112,111,4010.897545678537,0.7081718819257015
113,112,1755.1848965062818,0.3492108003180586
113,183,0.0,0.333333333
113,195,3502.2720545660563,0.33612143706019665
114,113,5257.456951072336,0.3295563668660646
115,114,5257.456951072336,0.23871849223322503
116,115,4413.637213990429,0.2783462611745756
116,294,2661.262786009569,0.8627825012681831
117,116,7074.900000000001,1.2429520937433511
118,5,4644.200000000001,1.1020562452704585
119,118,4644.200000000001,1.1187733250860805
120,119,3103.0851002117583,0.2740255129263972
120,400,3248.4543175229524,1.2873930507924913
121,120,6351.539417734716,0.5944975009962336
122,121,6351.539417734716,0.6778172268946199
123,122,6211.8380452764095,0.2951478998991944
123,382,5.728207028185617,0.5000000000089432
124,123,6217.566252304596,0.9328961250887223
125,124,6217.566252304596,0.29523444869555254
125,366,865.0186337494409,0.5039999208727427
126,125,7082.584886054038,0.9818467614478225
127,126,6432.637766795682,0.2985351493728922
127,350,0.0,0.5
128,127,6432.637766795682,0.6807506061485932
129,128,6432.637766795682,0.3462555403738474
130,129,5923.727729173986,0.2912471140493118
130,324,1525.5086965740877,0.5383384106111011
131,130,7449.236425748075,1.0085441262245558
132,131,7449.236425748075,0.3701944513071546
132,314,106.89320087041098,0.5000010844737065
133,132,7556.129626618486,0.5537719032014798
134,133,7556.129626618486,0.4122795233658947
135,134,7177.433084814808,0.31282327081136757
135,298,468.08542407226366,0.5003429919168286
136,135,7645.518508887073,0.18161342231829086
137,136,5792.114959690305,0.6712433550917054
138,60,2184.8624389593606,0.3335069911674717
138,137,3380.7272034550915,0.13185640474043497
138,236,3736.736121342679,0.3348186969902401
139,138,9302.325763757139,1.5398719804519996
140,139,6505.314427771584,0.29917721124606345
140,265,1558.0335341623127,0.5421051802966896
141,140,8063.347961933896,1.154606207343468
142,72,5241.510114461359,0.34741994365859297
142,76,3507.400000000001,0.3361489994675289
143,142,8748.91011446136,1.245096435634109
144,143,8724.51011446136,0.3609389331769107
144,264,1991.6427575121083,0.6124108919413216
145,144,10716.152871973454,1.5534845607260428
146,145,6050.570531928338,0.12899288087245972
147,57,2401.1015334270814,0.3335866289352196
147,146,3553.9605919963187,0.7701496436251234
148,147,5955.062125423404,0.24515936868289978
149,148,5483.980046342955,0.2864184437976012
149,297,250.43988892150892,0.5000280902870505
150,149,5734.419935264465,0.370155441939391
151,150,5734.419935264465,0.24290081964050014
152,151,4351.759343268146,0.6340875186687223
152,310,119.69999999999999,0.5000014667221296
153,152,4471.459343268146,0.7134227077438678
154,153,3012.3593432681437,0.27386751007014026
154,323,342.34870185814697,0.5000981421284915
155,154,3354.7080451262914,0.3184268174042044
156,155,3354.7080451262914,0.6260383551634632
157,156,3354.7080451262914,0.27454173699419254
157,349,457.59999999999997,0.5003132674746587
158,157,3812.308045126292,0.871576591889193
159,158,3005.308045126291,0.27385582312788304
159,365,0.0,0.5
160,159,3005.308045126291,0.865342907502085
161,160,3005.308045126291,0.27385582312788304
161,381,253.70000000000005,0.5000295973693303
162,161,3259.008045126292,0.6255579629309653
163,162,3259.008045126292,0.5486621332930086
164,163,1787.5832061326596,0.27276998674261344
164,399,799.2167938673394,0.5029152856781054
165,164,2586.7999999999984,1.0931838350869516
166,6,6522.2,1.1355720176199169
167,166,6522.2,1.2005989411736253
168,167,5484.910282960616,0.2863860485194561
168,409,1706.3079165120444,0.5703573550738099
169,168,7191.2181994726625,0.8940857943132574
170,169,4982.90613854893,0.36167937207171696
171,170,2561.9676684499573,0.06565185153603624
171,216,227.77230814431167,0.33333338805692875
172,171,2789.7399765942687,0.2846700437843891
172,393,0.0,0.5
173,172,2789.7399765942687,0.5036151034500727
174,173,2789.7399765942687,0.22993377936992462
175,174,2787.1927056648387,0.27367742904470577
175,377,206.73933294075053,0.5000128438155825
176,175,2993.9320386055906,0.8220424392481245
177,176,945.0179344652892,0.2726283669778457
177,360,0.0,0.5
178,177,945.0179344652892,0.8178851009335373
179,178,859.7723876635072,0.27262415451788075
179,336,10.697264552312511,0.5000000001087701
