iteration,total cost,RG Gap
0,1169256.9137367965,1.0
1,1517874.4664498162,0.22967482517075843
2,1331818.8660774499,0.13970037901651605
3,1322251.6046418215,0.007235583153797747
4,1322816.6869373983,0.0004271811061630123
5,1326238.1396624562,0.00257981777384924
6,1323278.434111781,0.002236646101364081
7,1325385.3475408866,0.0015896610242559352
8,1321332.0499240733,0.003067584425161142
9,1322935.1514774878,0.0012117763683458693
10,1323571.5740221632,0.00048083727179287143
11,1322327.836553223,0.000940566654168099
12,1322190.4971099386,0.00010387265948781062
13,1323163.3793835046,0.0007352699513338015
14,1321951.260433466,0.000916916520538912
15,1322468.6389284355,0.0003912217497942246
16,1323231.4263713472,0.000576458076576533
17,1322311.1921112188,0.0006959286631001646
18,1322481.6194993074,0.00012886938130230406
19,1322818.5457856804,0.0002547033283185028
20,1322421.7168595283,0.00030007744208441215
21,1322767.9544942211,0.00026175236065889996
22,1322063.7618715668,0.0005326464902551216
23,1322387.37365505,0.0002447178413302923
24,1322881.8876732178,0.00037381569947830286
25,1322147.7546932537,0.000555257895615806
26,1322476.4043370732,0.00024851078079104994
27,1322720.742163871,0.0001847236676715453
28,1322186.4362571572,0.000404107841422288
29,1322454.4377191607,0.0002026545901011694
30,1322558.03089996,7.83278906324429e-05
31,1322235.7449686916,0.00024374316947247958
32,1322459.618374455,0.00016928562706405747
33,1322593.1500114247,0.00010096199044165515
34,1322539.4972673822,4.056797105365174e-05
