iteration,total cost,RG Gap
0,25099.211617824352,1.0
1,45164.745055643965,0.44427425446769225
2,32241.357383331477,0.40083261751857185
3,29587.932649513146,0.08967928801412867
4,29235.83675926263,0.012043297859055214
5,28399.29775647233,0.029456327053004338
6,28484.855339493566,0.0030036165534817715
7,28339.18989160236,0.005140070991738915
8,28434.834335493037,0.003363636403229922
9,28377.285127121235,0.002028002612441592
10,28361.28136750868,0.0005642819661487201
11,28383.82307711276,0.0007941745388857275
12,28343.163093053936,0.0014345605649352786
13,28315.938972443768,0.0009614415625299142
14,28299.840842193997,0.0005688417238647327
15,28322.650297248638,0.0008053432434907739
16,28302.44986003543,0.0007137345817448472
17,28276.38142471674,0.000921915535341622
18,28312.870169063975,0.0012887688224242837
19,28269.284937852808,0.0015417875374982132
20,28309.599301780698,0.0014240527920631443
21,28298.440894578445,0.00039431173059397074
22,28268.66440349048,0.0010533391554321259
23,28265.5921435313,0.00010869257376878141
24,28286.34238604063,0.0007335781426293605
25,28244.53102827812,0.001480334643214541
26,28280.548215577503,0.0012735675074199047
27,28264.159576514805,0.0005798381875934225
28,28248.726219999135,0.0005463381391244474
29,28266.299221027904,0.0006216944387150924
30,28254.849051746136,0.0004052461671551861
31,28240.675307686164,0.0005018911164675364
32,28257.6737872814,0.0006015526870045392
33,28255.93825089437,6.142200523018264e-05
