iteration,total cost,RG Gap
0,3176000.0,1.0
1,51197753.11997179,0.9379660276778617
2,18447014.45304373,1.7753950781734351
3,13027571.592644926,0.4159979334489705
4,11111332.64670535,0.17245806663053737
5,9936202.487335142,0.11826753338290455
6,8929884.210980855,0.11269107779884116
7,8566171.335705727,0.04245921089146216
8,8274578.323878622,0.03523962193766806
9,8126920.389107515,0.0181689899373214
10,7967592.854381386,0.019996947338808177
11,7863669.755987081,0.013215598012007383
12,7795957.232793418,0.008685594491056551
13,7765986.244294994,0.0038592636602261953
14,7712044.668439796,0.0069944584314901494
15,7698353.558318398,0.001778446523361402
16,7636654.67636499,0.00807930757224921
17,7637883.224669354,0.00016084931756956384
18,7587884.795388986,0.006589244648357178
19,7595141.2446204275,0.0009554067525183699
20,7569668.271781411,0.003365137272128013
21,7538532.937000403,0.004130158353250713
22,7550197.910097547,0.0015449890500940505
23,7512393.648514502,0.005032252481939698
24,7550790.53852671,0.005085148345235421
25,7515071.0799100045,0.004753043349409459
26,7535574.977327844,0.0027209466403730763
27,7515339.1377020385,0.002692604984955226
28,7520516.119014495,0.000688381120461576
29,7493442.332616678,0.0036129972309218482
30,7517045.0936589725,0.0031398988230367645
31,7497736.548832091,0.002575249837217823
32,7495781.102711286,0.0002608728955674646
33,7499934.100187311,0.000553737862299461
34,7483483.470174941,0.0021982583482589224
35,7501125.529522279,0.002351921625348617
36,7484570.183182119,0.0022119301355954767
37,7491735.5878401045,0.0009564412109812456
38,7500827.531884467,0.0012121254629192284
39,7482996.644879457,0.0023828538019206686
40,7491196.866337114,0.0010946477050291397
41,7482651.579903054,0.001142013141038257
42,7480517.030676643,0.0002853478198976319
43,7487193.2531618,0.0008916856102702302
44,7488396.824974174,0.00016072489753208785
45,7482614.591450998,0.0007727557597022761
46,7479997.639449585,0.0003498600036463337
47,7487497.907000847,0.0010017054621476614
48,7486221.029791403,0.0001705636534592286
49,7482980.450081775,0.0004330600261814465
50,7482117.263458483,0.00011536662590249893
51,7488457.9610351445,0.0008467294080642881
52,7482201.826151504,0.0008361355425850893
53,7483601.364610672,0.00018701403121044321
54,7477704.489220595,0.000788594333806262
55,7484445.62725612,0.0009006863529044051
56,7482831.09597497,0.0002157647634220163
57,7480292.65042896,0.0003393511009043222
58,7480530.11721931,3.1744647321656136e-05
59,7481894.230909021,0.00018232196922471754
60,7486651.231805963,0.0006353976897886422
61,7483201.918154149,0.0004609408765846791
62,7478263.2513075,0.0006604029145117678
63,7484553.014118104,0.0008403658573518384
64,7479784.827811655,0.0006374764002194704
65,7478563.643381986,0.00016329130671362082
66,7485137.467086949,0.000878250230389147
67,7482286.49535767,0.0003810294795646171
68,7480977.386006582,0.00017499175355576208
69,7483436.8440034315,0.0003286535382229751
70,7482433.946037459,0.00013403365445055824
71,7484924.575132849,0.0003327527312251242
72,7481498.962186487,0.0004578778883316398
73,7480755.997751035,9.931675831639948e-05
